16:10:59:030 [ALWAYS]	GUDE Logging Started
16:10:59:030 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
16:10:59:030 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
16:10:59:030 [ERROR]	Initialize resume cache pointer failure
16:10:59:030 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
16:10:59:030 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
16:11:00:535 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
16:11:00:535 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
16:11:00:535 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
16:11:00:535 [ERROR]	Initialize resume cache pointer failure
16:11:00:535 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
16:11:00:535 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
